,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2018-06-30,1.6708,0.2802,0.3973,4.9492,4.04,4.04,-,3.6241,2.7245,0.612,4.5919,4.1161,21.8652,3.837,3.837,1.7266,2.762,53.2278,4.778,3.7689
2018-03-31,1.6983,0.2607,0.3907,4.0168,3.0296,3.0296,-,2.7649,1.7739,0.5355,3.8714,3.8801,23.1953,2.5387,2.5387,1.1787,1.8768,53.1991,0.3194,-0.5694
2017-12-31,1.7444,0.2765,0.3874,4.2058,3.1941,3.1941,-,2.8986,8.9838,0.5262,3.9602,3.8128,23.6049,10.4804,10.4804,4.7849,7.5829,52.7774,3.6802,1.4757
2017-09-30,1.9104,0.2827,0.3998,6.85,5.6532,5.6532,-,5.267,3.5693,0.491,3.5763,3.954,22.7617,4.0662,4.0662,1.7984,2.9167,48.4603,2.4223,1.6345
2017-06-30,2.0475,0.2872,0.4087,4.7138,3.8645,3.8645,-,3.4511,2.4625,0.4841,3.7372,4.8664,18.4942,2.7546,2.7546,1.2442,1.9635,46.9793,4.0537,3.3898
2017-03-31,2.0139,0.2884,0.4111,3.3621,2.4251,2.4251,-,1.9888,1.4009,0.4728,3.4921,4.2657,21.0987,1.5544,1.5544,0.6971,1.1061,46.1823,2.1907,1.5721
2016-12-31,2.0173,0.2744,0.3837,11.6358,2.81,2.81,-,2.5541,1.7719,0.4486,3.2058,3.5099,25.6417,1.9948,1.9948,0.901,1.4475,46.1881,2.0792,1.3075
2016-09-30,2.0523,0.2718,0.4237,13.3137,4.5397,4.5397,-,4.0155,3.1198,0.4247,2.8488,4.1612,21.6286,3.0525,3.0525,1.3941,2.2228,46.6358,2.013,1.3282
2016-06-30,1.8701,0.2369,0.3509,14.8999,6.2857,6.2857,-,5.7904,4.1565,0.4309,2.7157,3.974,22.6471,3.9385,3.9385,1.8547,3.0053,46.2983,4.9369,4.31
2016-03-31,2.1935,0.2511,0.3412,15.9094,5.2756,5.2756,-,4.6455,3.1501,0.355,2.182,3.3491,26.8729,2.3866,2.3866,1.1591,1.7873,45.7545,1.3588,0.6879
2015-12-31,2.1301,0.2524,0.3435,12.5686,3.4404,3.4404,-,2.9291,1.587,0.4246,2.7835,4.0105,22.4413,1.8498,1.8498,0.8931,1.383,45.1422,0.8495,0.0143
2015-09-30,2.03,0.249,0.3375,17.2815,9.4734,9.4734,-,8.9907,6.0986,0.4927,2.8484,4.8061,18.7263,6.2786,6.2786,2.9962,4.715,45.2732,2.967,2.1961
2015-06-30,1.8745,0.2465,0.334,14.826,8.273,8.273,-,7.8549,5.3786,0.5277,3.2327,4.3217,20.8249,6.2029,6.2029,2.8677,4.6739,44.0362,4.6284,3.8861
2015-03-31,1.9444,0.2529,0.3479,14.8476,7.0089,7.0089,-,6.6479,4.5195,0.4663,2.7247,4.2857,21,4.5357,4.5357,2.1163,3.3886,41.8211,2.7771,1.8895
2014-12-31,1.6647,0.2139,0.3006,12.6997,6.4468,6.4468,-,6.1165,4.1459,0.6116,3.6722,4.6618,19.3058,5.7428,5.7428,2.6784,4.5145,41.3067,1.8811,0.5604
2014-09-30,1.4611,0.2154,0.3031,9.8378,4.8535,4.8535,-,4.6007,3.0778,0.7101,4.5223,4.1686,21.5898,5.0423,5.0423,2.1917,3.956,40.2604,3.5403,2.5852
2014-06-30,1.4733,0.2182,0.3082,7.8679,3.1076,3.1076,-,2.8613,1.6841,0.7426,4.9291,4.3398,20.7381,3.166,3.166,1.3954,2.4751,39.1001,2.1253,1.0627
2014-03-31,1.4722,0.2231,0.3216,9.0099,4.0133,4.0133,-,3.7608,2.4597,0.7147,4.3104,4.2682,21.0864,4.1013,4.1013,1.7771,3.1864,38.2588,0.4552,-0.2687
2013-12-31,1.4689,0.2389,0.3291,9.4455,4.5282,4.5282,-,5.2252,3.741,0.7285,5.4146,3.9022,23.064,6.4374,6.4374,2.7169,4.8995,37.2426,4.5845,3.8149
2013-09-30,1.3603,0.254,0.357,6.1045,1.4722,1.4722,-,1.237,0.8634,0.7806,4.804,3.9135,22.9975,1.7621,1.7776,0.6999,1.3145,33.9478,0.4338,-0.4573
2013-06-30,1.3933,0.2578,0.3642,7.3779,2.3653,2.3653,-,2.1684,1.3692,0.7704,4.8903,4.5126,19.9442,2.5631,2.5859,1.0458,1.9023,33.251,2.349,1.177
2013-03-31,1.3543,0.2598,0.373,8.3318,3.1696,3.1696,-,2.9635,1.9538,0.7357,4.4234,4.3203,20.8317,3.54,3.5795,1.4329,2.6205,33.6075,2.786,1.7482
2012-12-31,1.3798,0.2632,0.3896,9.8144,7.7369,7.7369,-,7.5595,2.9848,0.7608,5.1092,4.0593,22.1715,11.2904,11.4249,4.5934,8.3191,32.7752,0.5809,-0.8615
2012-09-30,1.3278,0.271,0.4054,9.8313,3.7695,3.7695,-,3.5622,1.9409,0.793,5.4107,4.6357,19.4146,3.8709,3.9196,1.5368,2.8219,31.413,3.7912,2.5206
2012-06-30,1.2996,0.2799,0.4236,8.7733,3.9265,3.9265,-,3.6986,2.3974,0.8416,5.8095,5.0155,17.9444,4.9931,5.0594,2.0152,3.5957,30.1472,2.3041,1.0631
2012-03-31,1.2102,0.2877,0.4754,6.0625,-0.6938,-0.6938,-,-0.9583,-1.2284,0.8249,5.3759,4.6006,19.5627,-2.7014,-2.7402,-1.0133,-1.9241,28.9199,2.8022,1.4846
2011-12-31,1.2568,0.2905,0.4707,5.5807,0.4816,0.4816,-,0.2682,0.1298,0.8104,5.8222,3.888,23.1483,0.2736,0.2775,0.1052,0.1942,29.5342,-0.5096,-1.8647
2011-09-30,1.3584,0.2892,0.4588,10.9157,5.8701,5.8701,-,5.6121,3.5684,0.8088,5.8158,4.4867,20.0593,7.2166,7.3269,2.8861,5.1298,29.84,2.46,1.3643
2011-06-30,1.4355,0.2972,0.4767,9.3088,4.1223,4.1223,-,3.8124,2.3775,0.7917,7.1163,5.0924,17.6733,4.6523,4.7178,1.8823,3.2698,28.0186,1.5547,0.631
2011-03-31,1.4469,0.3305,0.5143,6.614,0.9275,0.9275,-,0.5474,0.3725,0.6645,5.6634,4.2611,21.1213,0.6831,0.6934,0.2627,0.4573,26.7086,3.5916,2.8272
2010-12-31,1.5389,0.3334,0.5549,8.5905,1.7055,1.7055,-,1.5069,-1.9762,0.5891,4.0954,4.4994,20.0027,1.198,1.2161,0.4785,0.7986,26.4344,0.7447,-0.1426
2010-09-30,1.4461,0.3279,0.5218,9.9929,2.8075,2.8075,-,2.3222,1.3895,0.5638,3.9373,4.8422,18.5867,1.9675,1.9966,0.8129,1.3224,27.1927,1.4945,0.7205
2010-06-30,1.4339,0.3329,0.5338,11.3516,4.3967,4.3967,-,3.8325,2.8355,0.5637,3.8236,4.8943,18.3887,3.4549,3.5069,1.4256,2.3048,26.58,1.3744,0.6696
2010-03-31,1.3984,0.3448,0.5695,7.7705,0.0216,0.0216,-,-0.6056,-0.611,0.5071,3.6105,4.6175,19.4912,-0.5455,-0.554,-0.2194,-0.3574,25.9491,1.7473,1.0676
2009-12-31,1.3986,0.3273,0.5025,6.9573,-0.5221,-0.5221,-,-1.0965,-9.1894,0.4307,3.114,3.2838,27.4077,-0.6995,-0.7104,-0.2896,-0.4706,26.0757,-0.0884,-1.1067
2009-09-30,1.4007,0.3107,0.4641,7.3278,-1.2814,-1.2814,-,-1.9437,-3.3866,0.5046,3.7614,4.6386,19.4024,-2.1586,-2.1902,-0.9319,-1.4879,28.2215,0.7781,0.1072
2009-06-30,1.5255,0.3059,0.4491,7.8384,-1.105,-1.105,-,-1.7208,-1.4618,0.4668,3.5111,4.0943,21.982,-1.1641,-1.18,-0.5132,-0.808,29.1603,1.1752,0.0181
2009-03-31,1.6784,0.3149,0.4794,15.9364,4.4493,4.4493,-,3.8415,2.3184,0.3725,2.3997,4.111,21.8923,2.3034,2.3348,1.0174,1.578,30.6048,1.5048,0.0886
2008-12-31,1.522,0.2862,0.421,30.8596,-47.9367,-47.9367,-,-48.8664,-53.466,0.1781,0.9175,1.9829,45.389,-21.1332,-21.4406,-9.5912,-15.0841,30.259,-0.7476,-2.6882
2008-09-30,1.2596,0.2411,0.3284,9.6051,5.1168,5.1168,-,4.9917,3.2036,0.8209,6.6899,5.4642,16.4708,5.8436,7.4781,2.6297,4.4345,37.6685,3.2796,1.9052
2008-06-30,1.1871,0.2511,0.3466,8.0977,3.1605,3.1605,-,2.9749,2.0033,0.8393,6.8664,4.7455,18.9653,3.9293,5.1068,1.6813,2.9427,35.5791,2.2137,1.0003
2008-03-31,1.2321,0.262,0.3551,8.1446,1.689,1.689,-,1.4135,0.934,0.6871,5.5285,4.6505,19.3527,1.4315,1.8781,0.6418,1.0566,34.5017,1.1608,0.1682
2007-12-31,1.2579,0.259,0.3708,8.1522,2.5545,2.5545,-,2.1816,2.4302,0.5461,5.2612,3.0335,29.6683,2.0479,2.6694,0.8871,1.5174,34.4855,1.9784,0.9374
2007-09-30,1.4308,0.2654,0.3645,12.1904,4.9285,4.9285,-,5.0213,5.3758,0.5661,4.5082,3.6669,24.5441,4.4707,5.8046,2.0258,3.284,34.5892,-0.4249,-1.3756
2007-06-30,1.4334,0.2745,0.3821,20.2132,13.1931,13.1931,-,12.8791,9.2926,0.5998,4.218,5.157,17.4519,11.3828,15.0182,5.1103,8.2579,32.7392,4.461,3.5542
2007-03-31,1.2171,0.1989,0.2641,17.3021,8.9203,8.9203,-,8.6377,6.0997,0.4911,3.2079,4.4944,20.0251,5.8089,7.6469,2.8491,4.6537,31.6364,3.0667,2.1707
2006-12-31,1.3353,0.1989,0.2738,16.2053,7.7727,7.7727,-,8.6675,6.2294,0.4737,3.766,4.0496,22.2245,5.6974,7.4653,2.8077,4.5642,30.8151,1.8726,0.643
2006-09-30,1.2108,0.2156,0.2882,16.1632,9.7298,9.7298,-,10.1859,6.8982,0.6342,4.1753,6.3284,14.2215,8.7511,11.7723,4.2547,6.8642,29.3933,2.1037,0.8887
2006-06-30,1.1172,0.2266,0.3095,16.7279,10.6987,10.6987,-,10.5306,7.4086,0.7007,4.6068,6.0444,14.8898,10.8851,14.9589,4.9803,8.3914,27.5655,3.3091,2.0158
2006-03-31,1.099,0.2501,0.3337,13.5805,6.3698,6.3698,-,6.1452,4.0522,0.6284,4.1281,6.7181,13.3966,5.5327,8.3358,2.5493,4.1348,25.0317,2.7019,1.4984
2005-12-31,1.1317,0.2552,0.3573,13.5494,7.4174,7.4174,-,7.3723,5.5282,0.7424,5.2114,6.7001,13.4327,8.2099,12.5178,3.7502,6.0873,24.3756,3.334,1.9533
2005-09-30,1.1409,0.3069,0.4624,11.3602,5.6307,5.6307,-,5.446,3.6851,0.7104,4.6118,6.5531,13.7341,6.2837,10.1126,2.6301,4.331,22.3692,3.4096,2.6119
2005-06-30,1.1692,0.2904,0.4357,13.049,7.2371,7.2371,-,6.8822,4.675,0.8332,5.0774,6.8303,13.1766,9.6889,13.7255,3.9139,6.7544,17.2798,1.7594,0.9691
2005-03-31,1.0557,0.3112,0.5062,12.5794,5.6577,5.6577,-,5.2832,3.5444,0.7361,4.6669,6.9452,12.9586,6.8453,10.1003,2.6287,4.6031,15.653,1.446,0.8381
